clip,lang,direction,clip_seconds,cold,pipeline_ms,asr_ms,nmt_ms,tts_ms,server_ms,source,tts_engine,audio_bytes,tts_error,cer,wer,reference,recognized
bench/clips/public/hi/fleurs-hi_00000_1766.wav,hi,hi-to-sat,9.12,True,4869.6,2030.0,1300.0,1387.0,4718.0,model,piper,391724,,0.026,0.042,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह है कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है
bench/clips/public/hi/fleurs-hi_00015_1992.wav,hi,hi-to-sat,8.88,False,3220.9,1852.0,1045.0,310.0,3207.0,model,piper,264236,,0.0,0.0,विशेष रूप से सवाना पर बेहतरीन अफ़्रीकी वन्य जीवन को संपूर्ण रूप से देखने के लिए आमतौर पर सफ़ारी शब्द का उपयोग किया जाता है,विशेष रूप से सवाना पर बेहतरीन अफ्रीकी वन्य जीवन को संपूर्ण रूप से देखने के लिए आमतौर पर सफारी शब्द का उपयोग किया जाता है
bench/clips/public/hi/fleurs-hi_00026_1957.wav,hi,hi-to-sat,4.08,False,1496.5,525.0,636.0,322.0,1483.0,model,piper,165932,,0.333,0.5,उन्होंने अफवाहों को राजनीतिक बकवास और मूर्खतापूर्ण कहा,उन्होंने नक को राजनीतिक बकसर मुखतापना कहा
bench/clips/public/hi/fleurs-hi_00027_1802.wav,hi,hi-to-sat,5.46,False,1689.1,696.0,711.0,269.0,1676.0,model,piper,203820,,0.0,0.0,इंटरनेट लोगों और अंतर-परस्पर संचार दोनों के तत्वों को मिलाता है,इंटरनेट लोगों और अंतर परस्पर संचार दोनों के तत्वों को मिलाता है
bench/clips/public/hi/fleurs-hi_00033_1910.wav,hi,hi-to-sat,7.02,False,1948.4,778.0,851.0,305.0,1934.0,model,piper,215084,,0.014,0.071,ऐसा माना जाता है कि पेरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं,ऐसा माना जाता है कि पैरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं
bench/clips/public/hi/fleurs-hi_00034_1721.wav,hi,hi-to-sat,8.22,False,2837.0,813.0,1262.0,748.0,2824.0,model,piper,634924,,0.278,0.368,1963 में बांध बनने के बाद मौसमी बाढ़ जो पूरे नदी में तलछट फैला देगी वह रुक गई थी,एक हज़ार नौ सौ तिरसठ में बादध बनने के बाद मौसमी बाढ़ जो पूरे नदी में थलचट फैला देगी वह रुक गई थी
bench/clips/public/hi/fleurs-hi_00050_1958.wav,hi,hi-to-sat,7.68,False,2104.5,808.0,851.0,432.0,2090.0,model,piper,402476,,0.0,0.0,यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है,यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है
bench/clips/public/hi/fleurs-hi_00053_1966.wav,hi,hi-to-sat,9.66,False,2245.7,943.0,740.0,543.0,2226.0,model,piper,450604,,0.009,0.053,अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मार्टेली की प्रतिक्रिया स्वरूप हुआ था,अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मारटेली की प्रतिक्रिया स्वरूप हुआ था
bench/clips/public/hi/fleurs-hi_00059_1772.wav,hi,hi-to-sat,6.36,False,1703.7,670.0,738.0,282.0,1690.0,model,piper,219692,,0.014,0.056,इसलिए यह माना जा रहा है कि नोटेशन को सिर्फ़ एक लेबल के रूप में जोड़ा गया था,इसलिए यह माना जा रहा है कि नोटेशन को सिर्फ एक लेवल के रूप में जोड़ा गया था
bench/clips/public/hi/fleurs-hi_00060_1803.wav,hi,hi-to-sat,9.72,False,2135.6,946.0,817.0,358.0,2121.0,model,piper,310828,,0.0,0.0,आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी,आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी
bench/clips/public/hi/fleurs-hi_00064_1844.wav,hi,hi-to-sat,6.24,False,1945.4,680.0,911.0,342.0,1933.0,model,piper,306732,,0.041,0.059,चांद की सतह चट्टानों और धूल से बनी है चांद की बाहरी परत को क्रस्ट कहते हैं,चांद की सतह चट्टानों और धूल से बनी है चांद की बाहरी परत को कृष्ट कहते हैं
bench/clips/public/hi/fleurs-hi_00067_1974.wav,hi,hi-to-sat,5.82,False,1632.7,633.0,635.0,352.0,1620.0,model,piper,219180,,0.015,0.077,इसी तरह पुरुषों के लिए घुटनों को ढंकने वाले ट्राउज़र पहनना ज़रूरी है,इसी तरह पुरुषों के लिए घुटनों को ढकने वाले ट्राउजर पहनना ज़रूरी है
bench/clips/public/hi/fleurs-hi_00075_1993.wav,hi,hi-to-sat,9.78,False,2444.9,950.0,1065.0,416.0,2431.0,model,piper,338988,,0.033,0.133,अटलांटिक तूफ़ान मौसम का दसवां तूफ़ान उपोष्णकटिबंधीय तूफ़ान जेरी आज अटलांटिक महासागर में बना है,अटलांटिक तूफान मौसम का दसवां तूफान उपोष्ण कटिबंधित तूफान जेरी आज अटलांटिक महासागर में बना है
bench/clips/public/hi/fleurs-hi_00102_1998.wav,hi,hi-to-sat,8.58,False,2195.9,834.0,933.0,417.0,2184.0,model,piper,359468,,0.009,0.038,उनके पैरों में पपड़ियां और पंजे हैं वे अंडे देते हैं और वे किसी टी-रेक्स की तरह अपने दो पीछे वाले पैरों पर चलते हैं,उनके पैरों में पपड़ियां और पंजे हैं वे अंडे देते हैं और वे किसी टी रैक्स की तरह अपने दो पीछे वाले पैरों पर चलते हैं
bench/clips/public/hi/fleurs-hi_00114_1741.wav,hi,hi-to-sat,7.62,False,1869.5,774.0,732.0,350.0,1855.0,model,piper,289836,,0.069,0.13,उत्तर की ओर के बड़े क्षेत्र में आबादी बहुत ही कम है और कुछ इलाकों में तो लगभग कोई इंसानी आबादी नहीं है,उत्तर की ओर के बड़े क्षेत्र में आबादी बहुत ही कम है और कुछ इलाकों में तो लगभग कोई इंसानी आबादी है ही नहीं
bench/clips/public/hi/fleurs-hi_00122_1747.wav,hi,hi-to-sat,4.74,False,1561.5,588.0,610.0,353.0,1550.0,model,piper,168492,,0.024,0.125,लूना को साथी पहलवानों ने भी श्रद्धांजलि दी,लोना को साथी पहलवानों ने भी श्रद्धांजलि दी
bench/clips/public/hi/fleurs-hi_00126_1988.wav,hi,hi-to-sat,9.9,False,2040.8,958.0,733.0,338.0,2029.0,model,piper,229932,,0.167,0.118,1920 के दशक के दौरान ज़्यादातर नागरिकों और देशों में शांतिवाद और अलगाव का नज़रिया प्रचलित था,नाइनटीन ट्वेंटी के दशक के दौरान ज़्यादातर नागरिकों और देशों में शांतिवाद और अलगाव का नज़रिया प्रचलित था
bench/clips/public/hi/fleurs-hi_00127_2007.wav,hi,hi-to-sat,7.8,False,2315.3,815.0,1003.0,485.0,2302.0,model,piper,417836,,0.04,0.2,यू.एस. कॉर्प्स ऑफ़ इंजीनियर्स ने अंदाजा लगाया कि 6 इंच बारिश पहले से क्षतिग्रस्त बांधों को तोड़ सकती है,यूएस कॉर्प्स ऑफ इंजीनियर्स ने अंदाजा लगाया कि छह इंच बारिश पहले से क्षतिग्रस्त बाधों को तोड़ सकती है
bench/clips/public/hi/fleurs-hi_00135_1761.wav,hi,hi-to-sat,9.84,False,2198.9,855.0,901.0,431.0,2186.0,model,piper,369708,,0.018,0.042,फ़ोटोग्राफ़रों ने बाद में एक वृद्ध महिला की जगह ले ली क्योंकि उसे शौचालय जाना ज़रूरी था मेंडोज़ा को गोली मार दी गई थी,फोटोग्राफरों ने बाद में एक वृद्ध महिला की जगह ले ली क्योंकि उसे शौचालय जाना ज़रूरी था मडोजा को गोली मार दी गई थी
bench/clips/public/hi/fleurs-hi_00141_1692.wav,hi,hi-to-sat,8.52,False,2137.8,744.0,867.0,513.0,2124.0,model,piper,445996,,0.011,0.059,जापान की परमाणु एजेंसी के अनुसार प्लांट में रेडियोधर्मी सीज़ियम और आयोडीन की पहचान की गई है,जापान की परमाणु एजेंसी के अनुसार प्लांट में रेडियोधर्मी सीजियम और आयोडीिन की पहचान की गई है
bench/clips/public/hi/fleurs-hi_00145_1988.wav,hi,hi-to-sat,8.7,False,2083.6,796.0,900.0,374.0,2070.0,model,piper,316460,,0.144,0.176,1920 के दशक के दौरान ज़्यादातर नागरिकों और देशों में शांतिवाद और अलगाव का नज़रिया प्रचलित था,उन्नीस सौ बीस के दशक के दौरान ज़्यादातर नागरिकों और देशों में शांतिवाद और अलगाव का नज़रिया प्रचलित था
bench/clips/public/hi/fleurs-hi_00148_1891.wav,hi,hi-to-sat,7.44,False,2021.1,737.0,912.0,359.0,2008.0,model,piper,313388,,0.013,0.067,लक्खा सिंह ने छप्पन भोग भजन भी प्रस्तुत किया गायक राजू खंडेलवाल उनके साथ थे,ल्खा सिंह ने छप्पन भोग भजन भी प्रस्तुत किया गायक राजू खंडेलवाल उनके साथ थे
bench/clips/public/hi/fleurs-hi_00150_1691.wav,hi,hi-to-sat,9.9,False,2334.3,884.0,949.0,488.0,2321.0,model,piper,408108,,0.03,0.087,चुनिंदा रूट पर बड़ी कंपनियों के खुद के विमान हैं लेकिन अन्य रूट पर और छोटी फ़र्म के लिए यह एक समस्या है,चनिंदा रूट पर बड़ी कंपनियों के खुद के विमान हैं लेकिन अन्य रूट पर और छोटी फॉम के लिए यह एक समस्या है
bench/clips/public/hi/fleurs-hi_00157_1918.wav,hi,hi-to-sat,8.88,False,2380.1,860.0,992.0,512.0,2364.0,model,piper,402476,,0.041,0.083,सुंदरबन को यूनेस्को द्वारा विश्व धरोहर घोषित किया है जंगल का वह हिस्सा जो भारत में है उसको सुंदरबन नेशनल पार्क कहा जाता है,सुंदरबन को यूनेस्को द्वारा विश्व रोहर घोषित किया गया है जंगल का वह हिस्सा जो भारत में है उसको सुंदरबन नेशनल पार्क कहा जाता है
bench/clips/public/hi/fleurs-hi_00159_1941.wav,hi,hi-to-sat,5.64,False,1805.7,736.0,591.0,465.0,1792.0,model,piper,238124,,0.0,0.0,ये जोड़े अपने बच्चे के लिए गोद लेने की योजना बनाने का विकल्प चुन सकते हैं,ये जोड़े अपने बच्चे के लिए गोद लेने की योजना बनाने का विकल्प चुन सकते हैं
bench/clips/public/hi/fleurs-hi_00162_1876.wav,hi,hi-to-sat,9.24,False,2033.1,793.0,873.0,354.0,2021.0,model,piper,308268,,0.036,0.095,उत्तरी मैरिएनस इमरजेंसी प्रबंधन कार्यलय की ओर से कहा गया कि राष्ट्र में नुकसान की कोई सूचना प्राप्त नहीं हुई थी,उत्तरी मेरियंस इमरजेंसी प्रबंधन कार्यालय की ओर से कहा गया कि राष्ट्र में नुकसान की कोई सूचना प्राप्त नहीं हुई थी
bench/clips/public/hi/fleurs-hi_00165_1754.wav,hi,hi-to-sat,9.96,False,2351.7,1008.0,932.0,399.0,2339.0,model,piper,297516,,0.025,0.158,पपड़ी पतली होने के कारण आस-पास पर कई मारिया होंगी लावा के लिए सतह पर बढ़ना आसान था,पपड़ी पतली होने के कारण आसपास पर कई मारियां होंगी लावा के लिए सतह पर बढ़ना आसान था
bench/clips/public/hi/fleurs-hi_00166_1679.wav,hi,hi-to-sat,7.38,False,1815.2,734.0,786.0,283.0,1804.0,model,piper,216108,,0.057,0.214,एरोस्मिथ ने अपने दौरे के अपने शेष संगीत कार्यक्रमों को रद्द कर दिया है,एरो स्मिथ ने अपने दौरे के अपने सेहत संगीत कार्यक्रमों को रद्द कर दिया है
bench/clips/public/hi/fleurs-hi_00173_1823.wav,hi,hi-to-sat,9.0,False,2395.7,892.0,1065.0,426.0,2382.0,model,piper,357420,,0.008,0.04,यातायात बहाव दो बिंदुओं के बीच व्यक्तिगत चालकों और वाहनों की गतिविधि और एक दूसरे के साथ की जाने वाली पारस्परिक क्रिया का अध्ययन है,यातायात भहाव दो बिंदुओं के बीच व्यक्तिगत चालकों और वाहनों की गतिविधि और एक दूसरे के साथ की जाने वाली पारस्परिक क्रिया का अध्ययन है
bench/clips/public/hi/fleurs-hi_00174_1880.wav,hi,hi-to-sat,8.16,False,1995.1,900.0,725.0,354.0,1980.0,model,piper,261164,,0.016,0.067,इस प्रकार जब पेंसिल आई तो यह कई लोगों के लिए एक अच्छी दोस्त थी,इस प्रकार जब पेेंसिल आई तो यह कई लोगों के लिए एक अच्छी दोस्त थी
bench/clips/public/hi/fleurs-hi_00178_1754.wav,hi,hi-to-sat,9.54,False,2154.9,887.0,857.0,394.0,2139.0,model,piper,335404,,0.037,0.211,पपड़ी पतली होने के कारण आस-पास पर कई मारिया होंगी लावा के लिए सतह पर बढ़ना आसान था,पपड़ी पतली होने के कारण आसपास पर कईी मारियां होंगी लावा के लिए सतह पर बढ़ना आसान था
bench/clips/public/hi/fleurs-hi_00183_1838.wav,hi,hi-to-sat,7.32,False,1753.1,696.0,760.0,284.0,1739.0,model,piper,217132,,0.0,0.0,गीज़ा में मौजूद ग्रेट पिरामिड सात अजूबा में से केवल एक है जो आज भी खड़ा है,गीजा में मौजूद ग्रेट पिरामिड सात अजूबा में से केवल एक है जो आज भी खड़ा है
bench/clips/public/hi/fleurs-hi_00185_1762.wav,hi,hi-to-sat,6.84,False,1802.3,793.0,717.0,279.0,1790.0,model,piper,230956,,0.048,0.167,यह बीमारी सूअरों के कारण होती है जो बाद में मच्छरों के माध्यम से मनुष्यों में आती है,यह बीमारी सुअरों के कारण होती है जो बाद में मच्छरों के माध्यम से मनुष्यों में आ जाती है
bench/clips/public/hi/fleurs-hi_00188_1757.wav,hi,hi-to-sat,7.68,False,2047.3,812.0,860.0,364.0,2036.0,model,piper,301100,,0.23,0.464,केवल जर्म-लाइन कोशिकाओं में वृद्धि बच्चों तक पहुंच सकती है जबकि अन्य कहीं होने वाली वृद्धि से कोशिकाएं नष्ट हो सकती हैं या कैंसर हो सकता है,केवल जर्म लाइन कोशिका में वृद्धिपतों तक पहुंच सकती जकि अनन््य होने वाली वृद्धि से कोशिकाएं नष्ट कर सकती है यह अपन समझता है
bench/clips/public/hi/fleurs-hi_00190_1885.wav,hi,hi-to-sat,6.24,False,1876.1,693.0,837.0,334.0,1864.0,model,piper,243244,,0.171,0.412,10 00-11 00 बजे एमडीटी के बीच यार्ड में कैदियों द्वारा आग लगा दी गई थी,दस से ग्यारह बजे एम डी टी के बीच यार्ड में कैदियों द्वारा आग लगा दी गई थी
bench/clips/public/hi/fleurs-hi_00192_1912.wav,hi,hi-to-sat,9.48,False,2263.7,942.0,939.0,369.0,2250.0,model,piper,279596,,0.009,0.048,अधिकांश छोटे द्वीप स्वतंत्र राष्ट्र हैं या फ़्रांस से संबंधित हैं और लग्ज़री बीच रिसॉर्ट के रूप में जाने जाते हैं,अधिकांश छोटे द्वीप स्वतंत्र राष्ट्र हैं या फ्रांस से संबंधित हैं और लग्ज़री बीच रििसॉर्ट के रूप में जाने जाते हैं
bench/clips/public/hi/fleurs-hi_00217_1745.wav,hi,hi-to-sat,7.68,False,2293.8,873.0,950.0,457.0,2279.0,model,piper,374316,,0.02,0.105,प्राकृतिक वातावरण में पौधे सबसे अच्छे दिखते हैं इसलिए सिर्फ एक नमूने को भी हटाने के प्रलोभन को रोकें,प्राकृतिक वातावरण में पौधे सबसे अच्छे दिखेते हैं इसलिए सिर्फ एक नमूने को भी हटाने के प्रलोभन को रोकेें
bench/clips/public/hi/fleurs-hi_00226_1917.wav,hi,hi-to-sat,8.94,False,1902.4,796.0,723.0,372.0,1891.0,model,piper,303660,,0.0,0.0,रोम में अलग-अलग जगहों पर कई बड़े टेलीविज़न स्क्रीन लगाए गए ताकि लोग समारोह देख सकें,रोम में अलग अलग जगहों पर कई बड़े टेलीविज़न स्क्रीन लगाए गए ताकि लोग समारोह देख सकें
bench/clips/public/hi/fleurs-hi_00227_2002.wav,hi,hi-to-sat,7.56,False,1963.0,745.0,877.0,329.0,1952.0,model,piper,263212,,0.0,0.0,यह डिवाइस को हवा में मूव करके खिलाड़ियों को एक्शन और मूवमेंट कंट्रोल करने की अनुमति देगा,यह डिवाइस को हवा में मूव करके खिलाड़ियों को एक्शन और मूवमेंट कंट्रोल करने की अनुमति देगा
bench/clips/public/hi/fleurs-hi_00232_1679.wav,hi,hi-to-sat,6.36,False,1708.8,713.0,651.0,333.0,1696.0,model,piper,182316,,0.0,0.0,एरोस्मिथ ने अपने दौरे के अपने शेष संगीत कार्यक्रमों को रद्द कर दिया है,एरोस्मिथ ने अपने दौरे के अपने शेष संगीत कार्यक्रमों को रद्द कर दिया है
bench/clips/public/hi/fleurs-hi_00237_1891.wav,hi,hi-to-sat,6.12,False,2163.9,724.0,972.0,450.0,2146.0,model,piper,319532,,0.053,0.2,लक्खा सिंह ने छप्पन भोग भजन भी प्रस्तुत किया गायक राजू खंडेलवाल उनके साथ थे,ल्खा सिंह ने छप्पन भोोग भजन भी प्रस्तुत किए गायक राजू खंडेलवाल उनके साथ थे
bench/clips/public/hi/fleurs-hi_00240_1698.wav,hi,hi-to-sat,9.12,False,2465.1,907.0,998.0,546.0,2451.0,model,piper,422956,,0.058,0.2,ब्रह्मांड की सभी वस्तुएं पदार्थ से बनी हैं सारे पदार्थ सूक्ष्तम कणों से बनें हैं जिन्हें अणु कहा जाता है,ब्रह्मांड की सभी वस्तुएँ पदार्थ से बनी हैं सारे पदार्थ सूक्ष्मतम कणों से बने हैं जिन्हें अनु का कहा जाता है
